id,name,message,story,link,description,created_time,likes,shares,comments
193081554406_10155297004994407,"tagesschau LIVE","Die Türkei hat abgestimmt - der ARD-Brennpunkt zum Verfassungsreferendum:","tagesschau was live.",https://www.facebook.com/tagesschau/videos/10155297004994407/,,Sun Apr 16 20:14:59 CEST 2017,608,195,1617
193081554406_10155296947119407,"Timeline Photos","Bei dem Referendum in der Türkei liegt nach Angaben der staatlichen Nachrichten-Agentur Anadolu das Ja-Lager nach Auszählung fast aller Stimmen knapp vorne.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155296947119407/?type=3,,Sun Apr 16 19:59:54 CEST 2017,262,210,393
193081554406_10155296838379407,"Timeline Photos","Mit dem Triumph beim Großen Preis von Bahrain hat Sebastian Vettel die alleinige Führung in der WM übernommen.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155296838379407/?type=3,,Sun Apr 16 19:25:25 CEST 2017,1114,19,30
193081554406_10155296729924407,,"Beim Referendum in der Türkei liegt nach Auszählung von etwa 96 Prozent der Stimmen das Ja-Lager mit  51,5 Prozent vorne. Bleibt es bei dem knappen Ja, könnte das Land noch mehr gespalten werden, erklärt ARD-Korrespondent Michael Schramm.",,https://www.facebook.com/tagesschau/videos/10155296729924407/,,Sun Apr 16 18:51:20 CEST 2017,245,78,296
193081554406_10155296586594407,"Timeline Photos","Vor dem Nordderby zwischen Werder Bremen und dem HSV ist der Mannschaftsbus der Hamburger mit Farbbeuteln attackiert worden. Bei der Einfahrt ins Stadion wurde der Bus mit grüner und weißer Farbe und Gegenständen beworfen, sagte ein Polizeisprecher. Der Bus wurde beschädigt, verletzt aber niemand.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155296586594407/?type=3,,Sun Apr 16 18:02:22 CEST 2017,122,31,164
193081554406_10155296456914407,"Timeline Photos","In der Türkei ist das Referendum über die Einführung eines Präsidialsystems beendet. Nach Auszählung der Hälfte der Stimmen liegen die Befürworter der Verfassungsänderung vorne.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155296456914407/?type=3,,Sun Apr 16 17:23:24 CEST 2017,516,360,972
193081554406_10155296298339407,"Timeline Photos","Christen in Mossul im Irak können nach drei Jahren zum ersten Mal wieder Ostern feiern. Ende Januar hatten Sicherheitskräfte den Stadtteil vom IS befreit.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155296298339407/?type=3,,Sun Apr 16 16:33:44 CEST 2017,1157,55,35
193081554406_10155296162619407,"Timeline Photos","Die Tierschutzorganisation PETA hat den Zoo Hannover angezeigt - jetzt überprüft die Staatsanwaltschaft das Videomaterial, das die Misshandlung von Elefanten zeigen soll.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155296162619407/?type=3,,Sun Apr 16 15:39:46 CEST 2017,686,45,64
193081554406_10155296040969407,"Liveblog zum Türkei-Referendum: Ein Votum mit Folgen","Präsident Erdogan wünscht sich eine neue Türkei - mit mehr Macht für ihn. Er rechnet mit der Zustimmung der Türken. Opposition und OSZE melden Verstöße. Die Wahllokale sind noch bis zum Nachmittag geöffnet.",,http://www.tagesschau.de/newsticker/liveblog-tuerkei-referendum-101.html#Was-wuerde-sich-bei-einem-Ja-aendern,,Sun Apr 16 15:15:28 CEST 2017,134,50,136
193081554406_10155295803889407,"Syrien: Zahl der Toten nach Anschlag auf Busse steigt","Die Zahl der Toten bei einem Bombenanschlag auf einen Buskonvoi in Syrien ist auf mindestens 112 gestiegen. Die Menschen stammten aus von Rebellen belagerten Orten und sollten in Gebiete unter Kontrolle der Assad-Regierung gebracht werden.",,http://www.tagesschau.de/ausland/syrien-busanschlag-103.html,,Sun Apr 16 14:14:41 CEST 2017,79,32,111
193081554406_10155295555914407,"Timeline Photos","Papst Franziskus hat mit zehntausenden Menschen auf dem Petersplatz in Rom die Ostermesse gefeiert. Er spendete den traditionellen Segen ''Urbi et Orbi'' - der Stadt und dem Erdkreis.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155295555914407/?type=3,,Sun Apr 16 12:44:54 CEST 2017,832,70,74
193081554406_10155295384749407,"Nordkorea mit neuem Raketentest gescheitert","Trotz aller Warnungen hat Nordkorea erneut eine Rakete gestartet. Nach Angaben aus den USA und Südkorea explodierte sie aber kurz nach dem Start.",,http://www.tagesschau.de/ausland/nordkorea-raketentest-117.html,,Sun Apr 16 11:20:50 CEST 2017,220,27,95
193081554406_10155295316649407,"USA: Gewalt bei Demonstrationen gegen Trump","Heftige Auseinandersetzungen: Bei landesweiten Demonstrationen haben tausende US-Bürger Präsident Trump aufgefordert, seine Steuererklärung zu veröffentlichen. Die Aktion fand am ''Tax Day'' statt.",,http://www.tagesschau.de/ausland/trump-proteste-123.html,,Sun Apr 16 10:43:04 CEST 2017,402,41,56
193081554406_10155295187604407,"Timeline Photos","Knapper Ausgang erwartet: In der Türkei hat das Referendum über die Einführung eines Präsidialsystems begonnen, das Staatschef Erdogan anstrebt.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155295187604407/?type=3,,Sun Apr 16 09:51:07 CEST 2017,215,44,363
193081554406_10155285487199407,"Timeline Photos","''Ich freue mich, wenn es regnet. Denn wenn ich mich nicht freue, regnet es auch'' - weise Worte von Komiker Karl Valentin. Das Tagesschau-Team wünscht erfolgreiches Eiersuchen.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155285487199407/?type=3,,Sun Apr 16 08:58:45 CEST 2017,1560,139,45
193081554406_10155293806484407,,"Evet oder Hayır - Ja oder Nein: Welche Szenarien sind nach dem Verfassungsreferendum in der Türkei möglich? Michael Schramm, Leiter des ARD-Studios Istanbul, gibt Auskunft.",,https://www.facebook.com/tagesschau/videos/10155293806484407/,,Sat Apr 15 22:53:54 CEST 2017,230,71,146
193081554406_10155293710254407,"Timeline Photos","Kurioses Sicherheitsproblem für den Secret Service: Im Herbst besucht Donald Trump Queen Elizabeth II. Laut der britischen ''Times'' besteht der US-Präsident auf einer Fahrt in der goldenen Kutsche der Königin. Im Gegensatz zu der Präsidenten-Limousine ist die jedoch nur an den Fenstern gepanzert - und stellt damit ein wesentlich höheres Sicherheitsrisiko dar.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155293710254407/?type=3,,Sat Apr 15 22:20:44 CEST 2017,577,322,536
193081554406_10155293578884407,"Timeline Photos","Sie hat in drei Jahrhunderten gelebt, zwei Weltkriege und elf Päpste überdauert: Die Italienerin Emma Morano ist im Alter von 117 Jahren in ihrem Haus in Norditalien gestorben. Seit Mai 2016 war sie als ältester Mensch der Welt im Guinness-Buch der Rekorde eingetragen.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155293578884407/?type=3,,Sat Apr 15 21:28:45 CEST 2017,1981,230,150
193081554406_10155293415609407,"Syrien: Anschlag auf Busse mit Evakuierten nahe Aleppo","In der Nähe der syrischen Stadt Aleppo ist ein Anschlag auf einen Buskonvoi verübt worden. Es soll viele Tote geben - zuletzt ist von 43 die Rede.",,http://www.tagesschau.de/ausland/syrien-evakuierungen-109.html,,Sat Apr 15 20:31:59 CEST 2017,108,67,106
193081554406_10155293217209407,"Timeline Photos","Tausende Menschen haben in Budapest gegen die als repressiv empfundene Politik von Ministerpräsident Viktor Orban demonstriert.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155293217209407/?type=3,,Sat Apr 15 19:30:57 CEST 2017,1776,116,141
193081554406_10155293120664407,"Flucht über das Mittelmeer: Mehr als 2000 Menschen gerettet","Die italienische Küstenwache und private Hilfsorganisationen haben gestern mehr als 2000 Bootsflüchtlinge im Mittelmeer gerettet.",,http://www.tagesschau.de/ausland/flucht-mittelmeer-103.html,,Sat Apr 15 18:51:33 CEST 2017,773,68,252
193081554406_10155292927844407,"Timeline Photos","Der ehemalige sowjetische Präsident Michail Gorbatschow hat sich zur Krise zwischen Russland und Deutschland geäußert:",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155292927844407/?type=3,,Sat Apr 15 17:46:36 CEST 2017,9289,2269,378
193081554406_10155292694089407,"Timeline Photos","Am morgigen Sonntag wird in der Türkei über die Einführung eines Präsidialsystems abgestimmt. Was würde die Verfassungsreform ändern? Die drei wichtigsten Punkte im Überblick:",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155292694089407/?type=3,,Sat Apr 15 17:03:00 CEST 2017,143,69,285
193081554406_10155292682779407,"Timeline Photos","An einer Schokoladenfabrik in Brasilien steht das ''größte Graffito-Gemälde'' aller Zeiten kurz vor der Vollendung. Es bedeckt mehr als 5700 Quadratmeter Fläche und wird vom brasilianischen Künstler Eduardo Kobra und seinem Team als ''Hommage an die Menschen in der Kakao-Produktion und ihre enge Beziehung zum Amazonas'' angefertigt.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155292682779407/?type=3,,Sat Apr 15 16:23:46 CEST 2017,682,39,30
193081554406_10155292575084407,"Arkansas: Gerichte verhindern vorerst Hinrichtungen","Gerichte stoppen größte Hinrichtungswelle in den USA seit Jahrzehnten: Der US-Bundesstaat Arkansas wollte eigentlich bis Ende des Monats sieben Häftlinge exekutieren, weil das Haltbarkeitsdatum eines bestimmten Betäubungsmittels Ende des Monats abläuft.",,http://www.tagesschau.de/ausland/hinrichtungen-usa-103.html,,Sat Apr 15 15:33:52 CEST 2017,663,40,112
193081554406_10155292388719407,"Timeline Photos","Gegen Kriegseinsätze der Bundeswehr, gegen Rüstungsexporte, gegen Atomwaffen: An Ostern gehen wieder tausende Anhänger der Friedensbewegung in ganz Deutschland auf die Straße.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155292388719407/?type=3,,Sat Apr 15 14:14:25 CEST 2017,2178,250,78
193081554406_10155292281004407,"Weltbilder","Versuchslabor im Kuhstall: Schweizer Forscher untersuchen, wie das klimaschädliche Ammoniakgas reduziert werden kann.","tagesschau shared Weltbilder's video.",https://www.facebook.com/weltbilder/videos/1693616147321312/,"Versuchslabor im Kuhstall. Schweizer Forscher bekämpfen die giftigen Exkremente von Rindern. http://www.ndr.de/fernsehen/sendungen/weltbilder/Schweiz-Versuchslabor-im-Kuhstall,weltbilder6054.html",Sat Apr 15 13:25:18 CEST 2017,113,0,295
193081554406_10155292182934407,"Derby: Braunschweig-Fans stürmen HDI-Arena","Hochrisikospiel: Vor dem Derby zwischen Hannover 96 und Eintracht Braunschweig haben Eintracht-Anhänger das Stadion gestürmt. Polizisten setzten zahlreiche Fans fest.",,http://www.ndr.de/sport/fussball/zweitebundesliga/Derby-Braunschweig-Fans-stuermen-HDI-Arena,niedersachsenderby230.html,,Sat Apr 15 12:45:44 CEST 2017,301,83,250
193081554406_10155292025019407,"Timeline Photos","Die Linken-Bundestagsabgeordnete Dagdelen kritisiert den Ablauf des Verfassungsreferendums in der Türkei.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155292025019407/?type=3,,Sat Apr 15 11:31:37 CEST 2017,4787,1169,436
193081554406_10155291905644407,"Parade in Nordkorea: Neue Raketen und alte Drohungen","105. Geburtstag des verstorbenen Staatsgründers Kim Il Sung: Bei einer Militärparade hat Nordkorea seine neuesten Waffen präsentiert - und erneut den USA gedroht.",,http://www.tagesschau.de/ausland/nordkorea-parade-107.html,,Sat Apr 15 10:28:04 CEST 2017,148,24,94
193081554406_10155291625794407,"BVB-Anschlag: Drittes angebliches Bekennerschreiben","Nach dem Anschlag auf den Bus von Borussia Dortmund ist ein drittes angebliches Bekennerschreiben aufgetaucht. Die Mail mit rechtsextremistischem Inhalt ging beim Berliner ''Tagesspiegel'' ein.",,http://www.tagesschau.de/inland/bvb-anschlag-bekennerschreiben-101.html,,Sat Apr 15 09:02:58 CEST 2017,116,43,176
193081554406_10155290283234407,,"Kirchenasyl soll Flüchtlinge vor Abschiebungen schützen. Aber es gibt immer häufiger Ermittlungsverfahren dagegen.",,https://www.facebook.com/tagesschau/videos/10155290283234407/,,Sat Apr 15 08:31:00 CEST 2017,197,50,115
193081554406_10155290204679407,,"Ägyptens Christen fühlen sich bedroht, verängstigt, wollen sich vom Terror der Islamisten aber nicht unterkriegen lassen - vor allem nicht an Ostern.",,https://www.facebook.com/tagesschau/videos/10155290204679407/,,Fri Apr 14 22:39:06 CEST 2017,531,92,89
193081554406_10155285973214407,,"Auf dem Weg zur Schule noch schnell Zigaretten ziehen? Heute kaum vorstellbar. Vor 20 Jahren ging das noch.",,https://www.facebook.com/tagesschau/videos/10155285973214407/,,Fri Apr 14 20:14:00 CEST 2017,501,56,176
193081554406_10155289749659407,"Timeline Photos","Der bei dem Anschlag auf den BVB-Teambus verletzte Verteidiger Marc Bartra hat sich erstmals ausführlich zu Wort gemeldet.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155289749659407/?type=3,,Fri Apr 14 19:54:01 CEST 2017,923,64,59
193081554406_10155289634319407,"Drei Festnahmen nach Razzien in Salafisten-Milieu","Die drei Festgenommenen sollen einen Terrorverdächtigen aus Northeim (Niedersachsen) bei Anschlagsplänen unterstützt haben.",,http://www.ndr.de/nachrichten/niedersachsen/braunschweig_harz_goettingen/Drei-Festnahmen-nach-Razzia-in-Salafisten-Milieu,festnahme194.html,,Fri Apr 14 19:10:16 CEST 2017,261,21,38
193081554406_10155289451919407,"Timeline Photos","Kardinal Marx hat in seiner Predigt zum Karfreitag die führenden Vertreter der Weltreligionen dazu aufgerufen, für Glaubensfreiheit einzutreten.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155289451919407/?type=3,,Fri Apr 14 18:29:54 CEST 2017,4428,749,379
193081554406_10155289390794407,"Anschlag auf BVB: ''Erhebliche Zweifel'' an Bekennerschreiben","Der Sprachgebrauch sei untypisch, es fehlten Symbole der Terrormiliz IS. Zudem seien nach islamistischen Anschlägen noch nie Bekennerschreiben am Tatort gefunden worden. Auch das Ende des Textes macht stutzig.",,http://www.tagesschau.de/inland/anschlag-dortmund-101.html,,Fri Apr 14 18:04:38 CEST 2017,304,77,109
193081554406_10155289159709407,"Timeline Photos","Alle Jahre wieder.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155289159709407/?type=3,,Fri Apr 14 16:58:58 CEST 2017,239,29,109
193081554406_10155289101749407,"faktenfinder: Keine Belege für Luftangriff mit Hunderten Toten in Syrien","Chemiewaffen in den Händen von Terroristen: Davor warnt das syrische Regime immer wieder. Ein angeblicher Vorfall mit Hunderten Toten soll diese These nun beweisen. Doch Belege gibt es dafür nicht.",,http://faktenfinder.tagesschau.de/syrien-1005.html,,Fri Apr 14 16:33:25 CEST 2017,110,21,73
193081554406_10155288951269407,,"Wer keine Zeit oder Lust hat, Eier zu färben, kauft einfach welche im Supermarkt. Doch meist ist unklar, woher die bunten Eier kommen.",,https://www.facebook.com/tagesschau/videos/10155288951269407/,,Fri Apr 14 15:36:29 CEST 2017,169,219,75
193081554406_10155288545809407,"Timeline Photos","Angesichts der Spannungen zwischen den USA und Nordkorea hat Chinas Außenminister alle Beteiligten zur Zurückhaltung aufgerufen.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155288545809407/?type=3,,Fri Apr 14 13:50:00 CEST 2017,5474,629,230
193081554406_10155288384919407,"Timeline Photos","Deutsche brauchen kein Visum für die Türkei. Dennoch wurde seit Jahresanfang 100 Personen die Einreise verweigert - ''unter Verweis auf eine Gefährdung der öffentlichen Sicherheit.''",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155288384919407/?type=3,,Fri Apr 14 12:50:00 CEST 2017,433,160,494
193081554406_10155288443799407,,"In Venezuela reißen die Proteste gegen die sozialistische Regierung von Präsident Maduro nicht ab.",,https://www.facebook.com/tagesschau/videos/10155288443799407/,,Fri Apr 14 12:04:27 CEST 2017,148,28,32
193081554406_10155288185609407,"Timeline Photos","So will Kanada gegen organisierte Drogenkriminalität vorgehen.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155288185609407/?type=3,,Fri Apr 14 10:50:00 CEST 2017,2922,173,181
193081554406_10155288079499407,"Größte nicht-nukleare Bombe tötet mindestens 36 IS-Kämpfer","US-Präsident Trump spricht von einer sehr erfolgreichen Mission. Ziel des rund 10-tausend-Kilo schweren Sprengkörpers seien Höhlen des IS gewesen.",,http://www.tagesschau.de/ausland/usa-afghanistan-107.html,,Fri Apr 14 09:46:59 CEST 2017,766,90,408
193081554406_10155286306029407,,"''Wenn die nach Stuttgart oder ins Ruhrgebiet gehen, sieht man die Kinder nicht mehr. Das ist schlecht ...'', sagt Thomas Zerbin, der in der Lausitz in einem Kraftwerk arbeitet. Aber: ''Das ist 'n Wohlstandsproblem. Uns geht's zu gut, jeder hat doch fast nur noch mit sich zu tun.''",,https://www.facebook.com/tagesschau/videos/10155286306029407/,,Fri Apr 14 08:30:00 CEST 2017,349,88,48
193081554406_10155286571659407,"Timeline Photos","Der türkische Präsident Erdogan lehnt eine Auslieferung des inhaftierten deutsch-türkischen Journalisten Deniz Yücel ab. Deutschland verweigere die Auslieferung türkischer Staatsbürger, daher würden Deutsche wie Yücel auch nicht überstellt, sagte Erdogan laut dpa dem Sender TGRT.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155286571659407/?type=3,,Thu Apr 13 23:32:38 CEST 2017,558,255,764
193081554406_10155286460324407,,"''Was stört mich mein Geschwätz von gestern? (...) Die ganzen aufgepumpten Kraftmeiereien aus dem US-Wahlkampf - hohles Geschwätz. (...) Nichts ist verlässlich an diesem US-Präsidenten, außer seiner Unberechenbarkeit.'' Sabine Rau kommentiert Trumps Außenpolitik.",,https://www.facebook.com/tagesschau/videos/10155286460324407/,,Thu Apr 13 22:44:39 CEST 2017,1089,365,154
193081554406_10155285969214407,,"Die Rettung für den Güterverkehr oder nur kostspieliges Experiment- haben E-Lkws Zukunftschancen?",,https://www.facebook.com/tagesschau/videos/10155285969214407/,,Thu Apr 13 21:11:00 CEST 2017,1318,329,446
193081554406_10155286098599407,"Afghanistan: USA setzen erstmals größte nicht-atomare Bombe ein","Der Sprengsatz sei in der ostafghanischen Provinz Nangarhar abgeworfen worden, erklärte das US-Verteidigungsministerium. Ziel seien Höhlen des IS gewesen.",,http://www.tagesschau.de/ausland/usa-afghanistan-103.html,,Thu Apr 13 20:27:35 CEST 2017,748,226,403
193081554406_10155285624869407,"Trump-Interview: Der Schokokuchen-Luftschlag","Donald Trump und der Schokokuchen - Ausrutscher oder gezielte Aktion?",,https://www.tagesschau.de/ausland/trump-interview-105.html,,Thu Apr 13 19:33:00 CEST 2017,108,18,56
193081554406_10155285489234407,,"Damit ihm kein Kind aus Versehen ein Auge herausziehen kann, geht es dem Osterhasen schon beim TÜV an den Kragen. Dort wird er auch auf seine Feuerfestigkeit getestet.",,https://www.facebook.com/tagesschau/videos/10155285489234407/,,Thu Apr 13 19:00:00 CEST 2017,161,40,55
193081554406_10155285401524407,"AFP-Interview mit Syriens Machthaber Assad","Der mutmaßliche Chemiewaffenangriff von Chan Scheichun sei zu hundert Prozent konstruiert, sagt Syriens Machthaber Assad in einem Interview mit der Nachrichtenagentur AFP.",,https://www.facebook.com/tagesschau/videos/10155285401524407/,,Thu Apr 13 18:38:00 CEST 2017,320,90,227
193081554406_10155285595459407,"Timeline Photos","82 Prozent der Bürger fühlen sich in Deutschland sicher.",,https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155285595459407/?type=3,,Thu Apr 13 18:00:00 CEST 2017,702,71,348
193081554406_10155285336124407,"Newreporter: Fake Accounts in sozialen Netzwerken","Je mehr Follower er hat, desto mehr Einfluss kann ein Account-Inhaber ausüben. Doch nicht hinter jedem Profil steckt auch ein echter Mensch.",,https://www.facebook.com/tagesschau/videos/10155285336124407/,,Thu Apr 13 17:39:00 CEST 2017,162,43,61
193081554406_10155285269929407,"Kommentar von Isabel Schayani","Warum sind so viele Türken in Deutschland so empfänglich für die Worte von Präsident Erdogan? Isabel Schayani meint, die Bundesregierung hätte mehr Symbolpolitik betreiben müssen.",,https://www.facebook.com/tagesschau/videos/10155285269929407/,,Thu Apr 13 17:05:00 CEST 2017,1896,1269,495
193081554406_10155285261904407,"Photos from tagesschau's post","Zehn Länder stimmten im UN-Sicherheitsrat für die Syrien-Resolution der USA, Frankreich und Großbritannien. Hier die Kernpunkte der Resolution und die Gründe, warum Russland dagegen war.","tagesschau added 2 new photos.",https://www.facebook.com/tagesschau/photos/a.10151270623184407.483303.193081554406/10155285252264407/?type=3,,Thu Apr 13 16:30:00 CEST 2017,109,19,108
193081554406_10155285123679407,"Zyklon erreicht Neuseeland","Auf Neuseeland kommt der möglicherweise schwerste Sturm seit 50 Jahren zu. Einige Küstengemeinden im Norden des Landes wurden vorsorglich evakuiert.",,https://www.facebook.com/tagesschau/videos/10155285123679407/,,Thu Apr 13 15:50:00 CEST 2017,146,56,328
